bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city,model
Hatchback,5,120000,2015,Petrol,3,Manual,400000,Third Party,998,Maruti,5,23.1,FWD,Bangalore,Maruti Celerio
SUV,5,32706,2018,Petrol,2,Manual,811000,Comprehensive,1497,Ford,5,17.0,FWD,Bangalore,Ford Ecosport
Hatchback,5,11949,2018,Petrol,1,Manual,585000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
Sedan,5,17794,2014,Petrol,1,Manual,462000,Comprehensive,1197,Hyundai,5,19.1,FWD,Bangalore,Hyundai Xcent
SUV,5,60000,2015,Diesel,1,Manual,790000,Third Party,1248,Maruti,5,23.65,FWD,Bangalore,Maruti SX4 S Cross
SUV,5,20000,2020,Diesel,1,Manual,1900000,Third Party,1956,Jeep,6,17.1,4WD,Bangalore,Jeep Compass
Hatchback,5,37772,2017,Petrol,1,Manual,345000,Comprehensive,1198,Datsun,5,20.63,FWD,Bangalore,Datsun GO
SUV,5,30000,2021,Petrol,1,Automatic,1200000,Third Party,998,Hyundai,7,18.15,FWD,Bangalore,Hyundai Venue
Sedan,5,37000,2018,Petrol,1,Automatic,960000,Comprehensive,1462,Maruti,4,20.28,FWD,Bangalore,Maruti Ciaz
Hatchback,5,11949,2017,Petrol,1,Manual,585000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
Hatchback,5,50000,2018,Petrol,1,Manual,690000,Third Party,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Hatchback,5,24887,2019,Petrol,1,Automatic,682000,Third Party,1197,Hyundai,4,18.9,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,23000,2018,Petrol,1,Automatic,825000,Comprehensive,1199,Honda,5,18.2,FWD,Bangalore,Honda Jazz
Hatchback,5,48928,2018,Petrol,1,Automatic,595000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
SUV,7,108862,2014,Diesel,3,Manual,690000,Comprehensive,2179,Mahindra,6,15.1,FWD,Bangalore,Mahindra XUV500
SUV,5,80000,2018,Diesel,1,Manual,1350000,Third Party,1956,Jeep,6,17.1,4WD,Bangalore,Jeep Compass
SUV,5,16000,2022,Diesel,1,Automatic,5595000,Comprehensive,1950,Mercedes-Benz,8,18.9,AWD,Bangalore,Mercedes-Benz GLA
Hatchback,5,65376,2014,Diesel,2,Manual,521000,Comprehensive,1396,Hyundai,6,21.27,FWD,Bangalore,Hyundai i20
SUV,5,10000,2022,Petrol,1,Manual,1005000,Third Party,1199,Tata,6,17.33,FWD,Bangalore,Tata Nexon
Sedan,5,67000,2016,Petrol,2,Manual,775000,Comprehensive,1497,Honda,5,17.8,FWD,Bangalore,Honda City
Sedan,5,100000,2011,Diesel,3,Automatic,2200000,Third Party,1995,BMW,6,18.48,FWD,Bangalore,BMW 5 Series
Hatchback,5,18083,2016,Petrol,1,Manual,582000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
SUV,5,30000,2020,Petrol,1,Manual,1090000,Third Party,1498,Renault,5,16.42,FWD,Bangalore,Renault Duster
Hatchback,5,57634,2016,Petrol,2,Manual,457000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
Sedan,5,50000,2016,Petrol,2,Automatic,4900000,Third Party,4663,Mercedes-Benz,7,7.81,RWD,Bangalore,Mercedes-Benz S-Class
Sedan,5,110000,2015,Petrol,1,Manual,550000,Third Party,1497,Honda,5,17.4,FWD,Bangalore,Honda City
Hatchback,5,23447,2018,Petrol,1,Automatic,570000,Comprehensive,1086,Hyundai,5,20.3,FWD,Bangalore,Hyundai Santro
Hatchback,5,30000,2009,LPG,2,Manual,220000,Third Party,1086,Hyundai,5,13.45,FWD,Bangalore,Hyundai Santro Xing
Sedan,5,33000,2017,Petrol,1,Automatic,4145000,Comprehensive,1991,Mercedes-Benz,9,15.0,RWD,Bangalore,Mercedes-Benz E-Class
